TIMESTAMP,FORECAST
20131101 1:00,0.39594448
20131101 2:00,0.40263999
20131101 3:00,0.4034865
20131101 4:00,0.39659238
20131101 5:00,0.41336375
20131101 6:00,0.416745
20131101 7:00,0.3716787
20131101 8:00,0.21181184
20131101 9:00,0.121136546
20131101 10:00,0.04277046
20131101 11:00,0.041321516
20131101 12:00,0.04315196
20131101 13:00,0.043882206
20131101 14:00,0.042475045
20131101 15:00,0.04051447
20131101 16:00,0.04335998
20131101 17:00,0.04499428
20131101 18:00,0.05488967
20131101 19:00,0.04398571
20131101 20:00,0.040576905
20131101 21:00,0.04152339
20131101 22:00,0.047012128
20131101 23:00,0.0947845
20131102 0:00,0.17428291
20131102 1:00,0.48478872
20131102 2:00,0.545967
20131102 3:00,0.6203284
20131102 4:00,0.70245206
20131102 5:00,0.73432285
20131102 6:00,0.68370163
20131102 7:00,0.61570984
20131102 8:00,0.5853508
20131102 9:00,0.5886476
20131102 10:00,0.53024507
20131102 11:00,0.46795976
20131102 12:00,0.36888665
20131102 13:00,0.5364668
20131102 14:00,0.6497219
20131102 15:00,0.35609692
20131102 16:00,0.41784757
20131102 17:00,0.54938
20131102 18:00,0.60970557
20131102 19:00,0.5409932
20131102 20:00,0.44798172
20131102 21:00,0.499937
20131102 22:00,0.5926378
20131102 23:00,0.5833571
20131103 0:00,0.57156026
20131103 1:00,0.50430435
20131103 2:00,0.51655775
20131103 3:00,0.6697438
20131103 4:00,0.7064094
20131103 5:00,0.6824607
20131103 6:00,0.68122596
20131103 7:00,0.6778386
20131103 8:00,0.67312604
20131103 9:00,0.60117584
20131103 10:00,0.52094513
20131103 11:00,0.43946868
20131103 12:00,0.6077334
20131103 13:00,0.6246347
20131103 14:00,0.6684858
20131103 15:00,0.7287249
20131103 16:00,0.7683415
20131103 17:00,0.7893495
20131103 18:00,0.8063744
20131103 19:00,0.8185853
20131103 20:00,0.8335071
20131103 21:00,0.86169076
20131103 22:00,0.9027354
20131103 23:00,0.86502165
20131104 0:00,0.7907836
20131104 1:00,0.75374675
20131104 2:00,0.65818805
20131104 3:00,0.5787492
20131104 4:00,0.48820204
20131104 5:00,0.44064736
20131104 6:00,0.4300813
20131104 7:00,0.43239665
20131104 8:00,0.45060098
20131104 9:00,0.3203451
20131104 10:00,0.3754264
20131104 11:00,0.45896828
20131104 12:00,0.51291835
20131104 13:00,0.5513529
20131104 14:00,0.58438784
20131104 15:00,0.6093373
20131104 16:00,0.6512988
20131104 17:00,0.68972546
20131104 18:00,0.67781323
20131104 19:00,0.6471267
20131104 20:00,0.6269533
20131104 21:00,0.7085876
20131104 22:00,0.77136904
20131104 23:00,0.7846274
20131105 0:00,0.69782364
20131105 1:00,0.4909103
20131105 2:00,0.36590046
20131105 3:00,0.25328046
20131105 4:00,0.1781188
20131105 5:00,0.120308824
20131105 6:00,0.06464049
20131105 7:00,0.05412794
20131105 8:00,0.13170783
20131105 9:00,0.24266869
20131105 10:00,0.3618207
20131105 11:00,0.3538695
20131105 12:00,0.3426494
20131105 13:00,0.35087103
20131105 14:00,0.3566981
20131105 15:00,0.35806215
20131105 16:00,0.32977402
20131105 17:00,0.3100713
20131105 18:00,0.32664484
20131105 19:00,0.3525486
20131105 20:00,0.36645856
20131105 21:00,0.46483314
20131105 22:00,0.48109245
20131105 23:00,0.55103016
20131106 0:00,0.54856944
20131106 1:00,0.42754835
20131106 2:00,0.33652383
20131106 3:00,0.25957176
20131106 4:00,0.23441252
20131106 5:00,0.23652053
20131106 6:00,0.23038611
20131106 7:00,0.21410653
20131106 8:00,0.12787873
20131106 9:00,0.12854196
20131106 10:00,0.09374654
20131106 11:00,0.25841138
20131106 12:00,0.22903293
20131106 13:00,0.41696763
20131106 14:00,0.52214503
20131106 15:00,0.56757945
20131106 16:00,0.53290886
20131106 17:00,0.39325017
20131106 18:00,0.21330634
20131106 19:00,0.15356874
20131106 20:00,0.17821532
20131106 21:00,0.259795
20131106 22:00,0.10417561
20131106 23:00,0.06400585
20131107 0:00,0.2357332
20131107 1:00,0.39084625
20131107 2:00,0.47685343
20131107 3:00,0.36654764
20131107 4:00,0.44802958
20131107 5:00,0.55361307
20131107 6:00,0.67647904
20131107 7:00,0.8577598
20131107 8:00,0.7902873
20131107 9:00,0.46248317
20131107 10:00,0.08337411
20131107 11:00,0.03952843
20131107 12:00,0.40008032
20131107 13:00,0.4409325
20131107 14:00,0.48184085
20131107 15:00,0.2286077
20131107 16:00,0.64861643
20131107 17:00,0.7253533
20131107 18:00,0.7705916
20131107 19:00,0.7275658
20131107 20:00,0.7592609
20131107 21:00,0.75409216
20131107 22:00,0.8138135
20131107 23:00,0.85491514
