TIMESTAMP,FORECAST
20131101 1:00,0.45186388
20131101 2:00,0.45181245
20131101 3:00,0.45176107
20131101 4:00,0.45170957
20131101 5:00,0.45165813
20131101 6:00,0.45160675
20131101 7:00,0.45155528
20131101 8:00,0.45150387
20131101 9:00,0.45145243
20131101 10:00,0.45140097
20131101 11:00,0.45134956
20131101 12:00,0.45129812
20131101 13:00,0.45124668
20131101 14:00,0.45119527
20131101 15:00,0.45114383
20131101 16:00,0.45109236
20131101 17:00,0.45104095
20131101 18:00,0.45098954
20131101 19:00,0.45093805
20131101 20:00,0.45088667
20131101 21:00,0.45083523
20131101 22:00,0.4507838
20131101 23:00,0.45073235
20131102 0:00,0.45068094
20131102 1:00,0.4506295
20131102 2:00,0.45057803
20131102 3:00,0.45052665
20131102 4:00,0.45047516
20131102 5:00,0.45042378
20131102 6:00,0.45037234
20131102 7:00,0.4503209
20131102 8:00,0.45026946
20131102 9:00,0.45021802
20131102 10:00,0.45016658
20131102 11:00,0.45011514
20131102 12:00,0.45006377
20131102 13:00,0.4500123
20131102 14:00,0.4499609
20131102 15:00,0.44990942
20131102 16:00,0.449858
20131102 17:00,0.4498066
20131102 18:00,0.44975513
20131102 19:00,0.44970372
20131102 20:00,0.44965225
20131102 21:00,0.44960082
20131102 22:00,0.4495494
20131102 23:00,0.449498
20131103 0:00,0.44944656
20131103 1:00,0.44939512
20131103 2:00,0.44934368
20131103 3:00,0.4492922
20131103 4:00,0.44924086
20131103 5:00,0.44918936
20131103 6:00,0.44913793
20131103 7:00,0.4490865
20131103 8:00,0.4490351
20131103 9:00,0.44898367
20131103 10:00,0.44893223
20131103 11:00,0.4488808
20131103 12:00,0.44882932
20131103 13:00,0.4487779
20131103 14:00,0.44872648
20131103 15:00,0.44867504
20131103 16:00,0.4486236
20131103 17:00,0.4485722
20131103 18:00,0.44852072
20131103 19:00,0.44846934
20131103 20:00,0.4484179
20131103 21:00,0.44836646
20131103 22:00,0.448315
20131103 23:00,0.4482636
20131104 0:00,0.44821215
20131104 1:00,0.4481607
20131104 2:00,0.4481093
20131104 3:00,0.44805783
20131104 4:00,0.44800642
20131104 5:00,0.447955
20131104 6:00,0.44790357
20131104 7:00,0.44785213
20131104 8:00,0.4478007
20131104 9:00,0.44774926
20131104 10:00,0.44769782
20131104 11:00,0.44764638
20131104 12:00,0.44759494
20131104 13:00,0.44754353
20131104 14:00,0.44749212
20131104 15:00,0.44744062
20131104 16:00,0.44738925
20131104 17:00,0.4473378
20131104 18:00,0.44728637
20131104 19:00,0.44723487
20131104 20:00,0.4471835
20131104 21:00,0.44713202
20131104 22:00,0.4470806
20131104 23:00,0.44702917
20131105 0:00,0.4469778
20131105 1:00,0.44692633
20131105 2:00,0.4468749
20131105 3:00,0.44682345
20131105 4:00,0.44677204
20131105 5:00,0.4467206
20131105 6:00,0.4466692
20131105 7:00,0.44661772
20131105 8:00,0.44656628
20131105 9:00,0.44651484
20131105 10:00,0.44646344
20131105 11:00,0.44641197
20131105 12:00,0.44636053
20131105 13:00,0.44630915
20131105 14:00,0.4462577
20131105 15:00,0.44620627
