TIMESTAMP,FORECAST
20131101 1:00,0.39273512
20131101 2:00,0.39899796
20131101 3:00,0.3997898
20131101 4:00,0.39334118
20131101 5:00,0.40902883
20131101 6:00,0.41219163
20131101 7:00,0.37003735
20131101 8:00,0.22025198
20131101 9:00,0.12877564
20131101 10:00,0.04247886
20131101 11:00,0.04247886
20131101 12:00,0.04247886
20131101 13:00,0.04247886
20131101 14:00,0.04247886
20131101 15:00,0.04247886
20131101 16:00,0.04247886
20131101 17:00,0.045975626
20131101 18:00,0.06065598
20131101 19:00,0.04263798
20131101 20:00,0.04247886
20131101 21:00,0.04247886
20131101 22:00,0.04936834
20131101 23:00,0.10087749
20131102 0:00,0.18117705
20131102 1:00,0.47583863
20131102 2:00,0.5330638
20131102 3:00,0.60922456
20131102 4:00,0.6934685
20131102 5:00,0.72616225
20131102 6:00,0.6742339
20131102 7:00,0.6044867
20131102 8:00,0.5733438
20131102 9:00,0.5767257
20131102 10:00,0.5183577
20131102 11:00,0.46009713
20131102 12:00,0.3674257
20131102 13:00,0.52417743
20131102 14:00,0.63937694
20131102 15:00,0.3554624
20131102 16:00,0.41322294
20131102 17:00,0.5364443
20131102 18:00,0.59832746
20131102 19:00,0.5284114
20131102 20:00,0.44140995
20131102 21:00,0.49000806
20131102 22:00,0.58081895
20131102 23:00,0.5712986
20131103 0:00,0.55919725
20131103 1:00,0.49409324
20131103 2:00,0.5055548
20131103 3:00,0.6599157
20131103 4:00,0.69752806
20131103 5:00,0.672961
20131103 6:00,0.67169434
20131103 7:00,0.6682196
20131103 8:00,0.66338533
20131103 9:00,0.58957744
20131103 10:00,0.50965875
20131103 11:00,0.433447
20131103 12:00,0.59630436
20131103 13:00,0.613642
20131103 14:00,0.65862536
20131103 15:00,0.7204197
20131103 16:00,0.7651776
20131103 17:00,0.78914905
20131103 18:00,0.8061649
20131103 19:00,0.81836945
20131103 20:00,0.8332834
20131103 21:00,0.8551325
20131103 22:00,0.85972214
20131103 23:00,0.856838
20131104 0:00,0.79058236
20131104 1:00,0.745948
20131104 2:00,0.6480617
20131104 3:00,0.5665717
20131104 4:00,0.4790314
20131104 5:00,0.4345495
20131104 6:00,0.42466614
20131104 7:00,0.42683196
20131104 8:00,0.44386
20131104 9:00,0.32754242
20131104 10:00,0.37354285
20131104 11:00,0.4516866
20131104 12:00,0.5021506
20131104 13:00,0.5384681
20131104 14:00,0.572356
20131104 15:00,0.5979496
20131104 16:00,0.64099455
20131104 17:00,0.68041337
20131104 18:00,0.6681935
20131104 19:00,0.6367147
20131104 20:00,0.61602044
20131104 21:00,0.69976246
20131104 22:00,0.7695229
20131104 23:00,0.7844295
20131105 0:00,0.68872064
20131105 1:00,0.48156464
20131105 2:00,0.3646324
20131105 3:00,0.26247555
20131105 4:00,0.18517095
20131105 5:00,0.12796977
20131105 6:00,0.07160872
20131105 7:00,0.05956447
20131105 8:00,0.13906792
20131105 9:00,0.25236478
20131105 10:00,0.36081627
20131105 11:00,0.3533789
20131105 12:00,0.3446149
20131105 13:00,0.35075477
20131105 14:00,0.3560247
20131105 15:00,0.35730058
20131105 16:00,0.33511958
20131105 17:00,0.31750712
20131105 18:00,0.33281183
20131105 19:00,0.35214326
20131105 20:00,0.3651545
20131105 21:00,0.45717248
20131105 22:00,0.47238117
20131105 23:00,0.53813714
20131106 0:00,0.53561276
20131106 1:00,0.42229694
20131106 2:00,0.34009743
20131106 3:00,0.26851854
20131106 4:00,0.24383041
20131106 5:00,0.24609628
20131106 6:00,0.23959145
20131106 7:00,0.22264123
20131106 8:00,0.13533989
20131106 9:00,0.13598558
20131106 10:00,0.09981629
20131106 11:00,0.26740396
20131106 12:00,0.23818251
20131106 13:00,0.4123999
20131106 14:00,0.5107811
20131106 15:00,0.55511355
20131106 16:00,0.52084947
20131106 17:00,0.39021492
20131106 18:00,0.22180808
20131106 19:00,0.16035189
20131106 20:00,0.18527144
20131106 21:00,0.26873296
20131106 22:00,0.11047885
20131106 23:00,0.07100345
20131107 0:00,0.24524999
20131107 1:00,0.38796633
20131107 2:00,0.46841612
20131107 3:00,0.3652378
20131107 4:00,0.44145474
20131107 5:00,0.5407866
20131107 6:00,0.6668248
20131107 7:00,0.85312
20131107 8:00,0.7900864
20131107 9:00,0.4549744
20131107 10:00,0.089211665
20131107 11:00,0.04247886
20131107 12:00,0.39660373
20131107 13:00,0.43481624
20131107 14:00,0.47308123
20131107 15:00,0.23773977
20131107 16:00,0.6382429
20131107 17:00,0.7169611
20131107 18:00,0.7684072
20131107 19:00,0.7192307
20131107 20:00,0.7521444
20131107 21:00,0.7462974
20131107 22:00,0.8136002
20131107 23:00,0.8516637
20131108 0:00,0.8574465
20131108 1:00,0.85403323
20131108 2:00,0.85338074
20131108 3:00,0.8540421
20131108 4:00,0.85813886
20131108 5:00,0.85866493
20131108 6:00,0.8481918
20131108 7:00,0.811831
20131108 8:00,0.7714162
20131108 9:00,0.677416
20131108 10:00,0.5756814
20131108 11:00,0.4917256
20131108 12:00,0.4284312
20131108 13:00,0.38721517
20131108 14:00,0.36224315
20131108 15:00,0.26392895
20131108 16:00,0.19885129
20131108 17:00,0.20830461
20131108 18:00,0.24182287
20131108 19:00,0.19453835
20131108 20:00,0.17981842
20131108 21:00,0.3032078
20131108 22:00,0.44935045
20131108 23:00,0.5019741
20131109 0:00,0.46398515
20131109 1:00,0.4628891
20131109 2:00,0.48995528
20131109 3:00,0.53967977
20131109 4:00,0.60074615
20131109 5:00,0.63011354
20131109 6:00,0.636916
20131109 7:00,0.64871657
20131109 8:00,0.6852898
20131109 9:00,0.6521991
20131109 10:00,0.5130804
20131109 11:00,0.44920963
20131109 12:00,0.40561563
20131109 13:00,0.40272927
20131109 14:00,0.50669605
20131109 15:00,0.4809266
